"anio" "mes" "ppAcc" "mTmax" "mTmin" "est" "cuenca"
1976 9 37.6583333333333 -2.2602015250545 -0.266966230936799 26001 "YAQUI"
1976 10 -8.8078947368421 -3.7171538111566 -2.01746155923226 26001 "YAQUI"
1976 11 1.8594594594595 -1.7345720720721 -1.45923423423424 26001 "YAQUI"
1976 12 -20.5594594594595 -0.762537228154599 -1.82855364978835 26001 "YAQUI"
1977 1 27.95 -1.9963027295286 -0.777576509511993 26001 "YAQUI"
1977 2 -16.8918918918919 0.710316646696 -1.84633537478365 26001 "YAQUI"
1977 3 -6.3756756756757 -3.8639930252834 -2.88491717523976 26001 "YAQUI"
1977 4 -5.21351351351351 -1.2372189072189 -1.08803088803089 26001 "YAQUI"
1977 5 -5.61621621621622 -2.7670281436688 -1.420610846028 26001 "YAQUI"
1977 6 7.2083333333333 -0.8787359098229 -1.0058413848631 26001 "YAQUI"
